epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.51966,1.73812,15.5304,0.00961,0.33295,0.02618,0.0116,0.00929,1.38878,12.7623,0.00781,0.00015,0.00015,0.00015
2,7.5029,1.71186,9.52551,0.00853,0.08929,0.03128,0.0315,0.01581,1.39689,9.06785,0.00756,0.000297031,0.000297031,0.000297031
3,9.40829,1.47805,7.88381,0.00767,0.10417,0.02551,0.02534,0.01291,1.40151,6.69265,0.00835,0.000427975,0.000427975,0.000427975
4,11.2133,1.42543,6.24931,0.00668,0.08563,0.11923,0.04921,0.02318,1.38141,5.45649,0.00771,0.000542831,0.000542831,0.000542831
5,15.3713,1.39955,5.25945,0.00595,0.11249,0.11424,0.08534,0.04227,1.43592,4.49158,0.00817,0.0006416,0.0006416,0.0006416
6,17.9106,1.39376,4.14282,0.00713,0.1298,0.22604,0.14992,0.08489,1.44287,3.91548,0.00861,0.000724281,0.000724281,0.000724281
7,20.0036,1.39314,4.00558,0.00622,0.24969,0.26039,0.2264,0.11198,1.44067,3.36175,0.00826,0.000790875,0.000790875,0.000790875
8,21.7491,1.56694,3.52634,0.00749,0.5462,0.19181,0.25219,0.12245,1.36978,3.14912,0.00798,0.000816875,0.000816875,0.000816875
9,23.5151,1.57962,3.31094,0.00699,0.36906,0.20711,0.2838,0.1222,1.39243,2.81762,0.00783,0.000755,0.000755,0.000755
10,25.1621,1.47305,3.33814,0.00676,0.24395,0.23744,0.28154,0.11394,1.34326,2.82263,0.0073,0.000693125,0.000693125,0.000693125
11,34.3643,1.274,2.56858,0.00718,0.27279,0.29549,0.24353,0.1355,1.4017,2.4905,0.00787,0.00063125,0.00063125,0.00063125
12,36.076,1.31418,2.408,0.00757,0.41368,0.29207,0.32384,0.19585,1.46903,2.29907,0.00863,0.000569375,0.000569375,0.000569375
13,37.8021,1.4188,2.55252,0.01022,0.81501,0.27625,0.35335,0.22507,1.45013,2.25471,0.00857,0.0005075,0.0005075,0.0005075
14,39.5114,1.35063,2.32444,0.00788,0.71861,0.30427,0.39482,0.26401,1.38291,2.10092,0.0075,0.000445625,0.000445625,0.000445625
15,41.2406,1.3751,2.33375,0.00763,0.73837,0.28187,0.40219,0.26117,1.3127,2.07606,0.00703,0.00038375,0.00038375,0.00038375
16,42.8875,1.26649,2.05898,0.00723,0.72282,0.30935,0.38058,0.25329,1.27701,2.09732,0.00677,0.000321875,0.000321875,0.000321875
17,44.5302,1.28133,1.97969,0.00735,0.63498,0.34065,0.41998,0.26244,1.34019,2.0103,0.00739,0.00026,0.00026,0.00026
18,46.1593,1.3682,2.13794,0.00742,0.62414,0.35918,0.41645,0.25391,1.36906,1.97212,0.00764,0.000198125,0.000198125,0.000198125
19,47.8166,1.34707,2.2209,0.00794,0.64213,0.45129,0.45491,0.27597,1.37496,1.92839,0.00768,0.00013625,0.00013625,0.00013625
20,49.5532,1.19796,1.97597,0.00716,0.60711,0.4591,0.45329,0.27579,1.32895,1.94607,0.0074,7.4375e-05,7.4375e-05,7.4375e-05
