epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.48019,1.44878,4.468,0.00673,0.63699,0.15062,0.11989,0.07496,1.25848,3.31479,0.00706,0.00015,0.00015,0.00015
2,4.38836,1.52288,3.97855,0.00696,0.63943,0.16526,0.12807,0.0743,1.37539,3.28693,0.00747,0.000308633,0.000308633,0.000308633
3,6.21738,1.50983,4.14597,0.00753,0.62426,0.1819,0.14011,0.07554,1.39686,3.26705,0.00791,0.000463244,0.000463244,0.000463244
4,8.1527,1.51275,4.03889,0.00664,0.63761,0.16527,0.14166,0.07884,1.45268,3.20606,0.00815,0.000613833,0.000613833,0.000613833
5,9.98423,1.4591,4.01268,0.00605,0.65156,0.20497,0.16682,0.08604,1.48642,3.16828,0.0085,0.0007604,0.0007604,0.0007604
6,11.92,1.35138,3.74431,0.00616,0.65658,0.17303,0.1938,0.10134,1.44998,3.06881,0.00803,0.000902945,0.000902945,0.000902945
7,14.1085,1.33714,3.89253,0.00576,0.63308,0.20835,0.16633,0.09336,1.44137,3.02674,0.00823,0.00104147,0.00104147,0.00104147
8,15.9071,1.47257,3.98226,0.00627,0.62169,0.15705,0.15208,0.08859,1.43047,3.02002,0.00843,0.00114172,0.00114172,0.00114172
9,17.6736,1.60706,4.06473,0.00683,0.35466,0.187,0.16451,0.09608,1.44012,2.90014,0.00805,0.00112625,0.00112625,0.00112625
10,19.4468,1.55858,4.33252,0.00685,0.39078,0.14996,0.14232,0.08731,1.44043,2.90964,0.00762,0.00111078,0.00111078,0.00111078
11,21.2986,1.50792,3.25239,0.00649,0.44031,0.23262,0.19707,0.10031,1.52484,2.79427,0.00858,0.00109531,0.00109531,0.00109531
12,23.1751,1.48601,3.25977,0.00664,0.19429,0.19043,0.17433,0.09147,1.49095,2.67874,0.00828,0.00107984,0.00107984,0.00107984
13,25.003,1.49009,3.55523,0.00754,0.32319,0.27589,0.20219,0.12245,1.49377,2.65387,0.00792,0.00106437,0.00106437,0.00106437
14,26.825,1.44868,3.23471,0.00591,0.39531,0.27586,0.25154,0.13671,1.55313,2.66125,0.0084,0.00104891,0.00104891,0.00104891
15,28.6746,1.41726,3.17269,0.00696,0.61545,0.22128,0.26766,0.1472,1.58933,2.56856,0.00921,0.00103344,0.00103344,0.00103344
16,30.5115,1.40026,3.48044,0.00699,0.57556,0.27033,0.25632,0.13783,1.59914,2.52214,0.00928,0.00101797,0.00101797,0.00101797
17,32.3951,1.50174,2.95922,0.00644,0.19213,0.24835,0.19013,0.09851,1.60223,2.47923,0.00922,0.0010025,0.0010025,0.0010025
