epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.6609,1.33042,1.91113,0.00658,0.59135,0.36175,0.46084,0.28556,1.39184,1.92871,0.00771,0.0003,0.0003,0.0003
2,7.2055,1.29179,1.6605,0.00611,0.42541,0.4209,0.38966,0.22042,1.51274,2.18215,0.00885,0.00060492,0.00060492,0.00060492
3,10.4002,1.34993,1.68458,0.00639,0.76644,0.36609,0.50493,0.31736,1.55749,1.77203,0.00913,0.000902106,0.000902106,0.000902106
4,13.6195,1.38812,1.65241,0.00643,0.54992,0.57596,0.48332,0.24544,1.51669,1.84454,0.00869,0.00119156,0.00119156,0.00119156
5,16.7358,1.35945,1.64376,0.00688,0.41941,0.51947,0.40248,0.19909,1.59448,1.91844,0.0092,0.00118812,0.00118812,0.00118812
6,19.9515,1.34865,1.57797,0.00632,0.74564,0.47357,0.54026,0.3232,1.53388,1.84516,0.00914,0.00117266,0.00117266,0.00117266
7,23.1301,1.40091,1.72699,0.00684,0.61128,0.44455,0.48176,0.28494,1.55785,1.9264,0.00925,0.00115719,0.00115719,0.00115719
8,26.2193,1.39832,1.71702,0.00756,0.47463,0.51912,0.49221,0.30943,1.46842,1.85573,0.00856,0.00114172,0.00114172,0.00114172
9,29.3906,1.41463,1.59911,0.00695,0.68936,0.50451,0.56252,0.25845,1.66783,2.30813,0.0097,0.00112625,0.00112625,0.00112625
10,32.5994,1.46515,1.72333,0.0073,0.65494,0.57244,0.56833,0.34893,1.53038,1.67221,0.00869,0.00111078,0.00111078,0.00111078
11,35.867,1.35538,1.62639,0.00702,0.73356,0.46731,0.5526,0.26249,1.66,1.76304,0.00974,0.00109531,0.00109531,0.00109531
12,38.9735,1.41939,1.54788,0.00694,0.7443,0.40281,0.54855,0.3229,1.43608,1.57811,0.00838,0.00107984,0.00107984,0.00107984
13,42.1293,1.37065,1.50075,0.00687,0.63064,0.42882,0.50794,0.30291,1.40263,1.62854,0.00769,0.00106437,0.00106437,0.00106437
14,45.2566,1.28515,1.41298,0.00611,0.63942,0.51096,0.55778,0.33065,1.53111,1.49991,0.00901,0.00104891,0.00104891,0.00104891
15,48.3286,1.29171,1.36606,0.00578,0.69749,0.50606,0.60416,0.35538,1.43099,1.49459,0.00819,0.00103344,0.00103344,0.00103344
16,51.6573,1.27835,1.37207,0.00632,0.58391,0.59019,0.59392,0.34917,1.53091,1.43043,0.00883,0.00101797,0.00101797,0.00101797
17,54.9477,1.34844,1.39479,0.00655,0.58641,0.45904,0.55273,0.31665,1.48987,1.53802,0.00851,0.0010025,0.0010025,0.0010025
18,58.0581,1.27753,1.35001,0.00576,0.65368,0.56923,0.68188,0.39742,1.48246,1.32294,0.00848,0.000987031,0.000987031,0.000987031
19,61.2577,1.3216,1.29065,0.0059,0.75771,0.61283,0.70619,0.41695,1.40844,1.39761,0.00811,0.000971562,0.000971562,0.000971562
20,65.5398,1.27482,1.28171,0.00645,0.61831,0.55609,0.59767,0.34708,1.48949,1.53976,0.00841,0.000956094,0.000956094,0.000956094
21,68.6078,1.2744,1.37674,0.00566,0.52535,0.51203,0.55678,0.31507,1.53188,1.59882,0.0085,0.000940625,0.000940625,0.000940625
22,71.7393,1.31192,1.33947,0.00626,0.54121,0.54183,0.58336,0.34863,1.53916,1.49643,0.00848,0.000925156,0.000925156,0.000925156
23,74.9144,1.29951,1.2257,0.00552,0.61907,0.53246,0.62946,0.4118,1.47791,1.41412,0.00835,0.000909688,0.000909688,0.000909688
24,78.0594,1.23379,1.22011,0.00609,0.63888,0.65195,0.6606,0.4123,1.40139,1.4157,0.0078,0.000894219,0.000894219,0.000894219
25,81.2398,1.26787,1.1935,0.00579,0.55592,0.61827,0.60684,0.37046,1.47242,1.56985,0.00854,0.00087875,0.00087875,0.00087875
26,84.3943,1.22109,1.03663,0.00545,0.77382,0.48019,0.65159,0.38057,1.41381,1.32256,0.00798,0.000863281,0.000863281,0.000863281
27,87.5851,1.20762,1.01551,0.00565,0.55322,0.68718,0.6843,0.40807,1.42614,1.35213,0.00814,0.000847813,0.000847813,0.000847813
28,90.7598,1.19573,1.06147,0.00592,0.62368,0.62846,0.64037,0.38075,1.46857,1.46424,0.00824,0.000832344,0.000832344,0.000832344
29,93.9083,1.2827,1.07272,0.00578,0.70224,0.50273,0.63465,0.38651,1.50006,1.45011,0.0087,0.000816875,0.000816875,0.000816875
30,97.0832,1.21402,1.04844,0.00565,0.62139,0.58477,0.64578,0.43071,1.3366,1.5896,0.00707,0.000801406,0.000801406,0.000801406
31,100.492,1.2201,1.06229,0.00587,0.63198,0.6104,0.63819,0.44344,1.33548,1.32767,0.00725,0.000785938,0.000785938,0.000785938
32,103.752,1.21182,1.03788,0.00611,0.708,0.60137,0.63786,0.41323,1.37809,1.37633,0.00782,0.000770469,0.000770469,0.000770469
33,106.922,1.27306,1.12462,0.0059,0.56781,0.60943,0.57814,0.38916,1.37538,1.40017,0.00786,0.000755,0.000755,0.000755
