epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,118.786,1.17123,1.36105,0.00568,0.66551,0.59164,0.65337,0.3984,1.25834,1.48408,0.00686,0.000615781,0.000615781,0.000615781
43,121.626,1.29817,1.44313,0.00576,0.74203,0.53996,0.63837,0.40693,1.32307,1.43856,0.00722,0.000600313,0.000600313,0.000600313
44,124.423,1.19269,1.50174,0.00474,0.73036,0.59515,0.67359,0.43421,1.36629,1.27827,0.00744,0.000584844,0.000584844,0.000584844
45,127.238,1.13973,1.33799,0.00479,0.56844,0.6465,0.67651,0.41856,1.33775,1.35738,0.0074,0.000569375,0.000569375,0.000569375
46,130.024,1.2497,1.30206,0.00477,0.58829,0.74819,0.68156,0.41104,1.23409,1.37325,0.00668,0.000553906,0.000553906,0.000553906
47,132.856,1.07211,1.20395,0.00497,0.68105,0.56632,0.66469,0.39903,1.22678,1.42795,0.00658,0.000538438,0.000538438,0.000538438
48,135.63,1.15838,1.24817,0.00473,0.65247,0.57141,0.64345,0.39733,1.22201,1.43087,0.00661,0.000522969,0.000522969,0.000522969
49,138.395,1.08604,1.19259,0.00476,0.54486,0.63743,0.62596,0.39837,1.25084,1.37843,0.00663,0.0005075,0.0005075,0.0005075
50,141.236,1.09796,1.25882,0.00459,0.7073,0.5533,0.64123,0.39271,1.29565,1.42616,0.00688,0.000492031,0.000492031,0.000492031
51,144.05,1.15916,1.24514,0.00485,0.72194,0.56689,0.63877,0.40249,1.24064,1.43841,0.00664,0.000476562,0.000476562,0.000476562
52,146.835,1.12187,1.18316,0.00475,0.65983,0.56864,0.62315,0.39836,1.24433,1.45948,0.0068,0.000461094,0.000461094,0.000461094
53,149.61,1.07795,1.15631,0.00442,0.71695,0.54391,0.62703,0.3966,1.22639,1.37746,0.00655,0.000445625,0.000445625,0.000445625
54,152.56,1.07992,1.1285,0.00458,0.72236,0.60948,0.6822,0.40899,1.23254,1.36008,0.00695,0.000430156,0.000430156,0.000430156
55,155.353,1.0763,1.21018,0.00473,0.59794,0.67095,0.66091,0.40829,1.2526,1.36059,0.0071,0.000414688,0.000414688,0.000414688
56,158.188,1.10395,1.11294,0.00454,0.71042,0.5923,0.64062,0.40531,1.24383,1.38314,0.00694,0.000399219,0.000399219,0.000399219
57,160.98,1.07123,1.06943,0.00468,0.67845,0.56884,0.61551,0.38767,1.22107,1.42445,0.00648,0.00038375,0.00038375,0.00038375
58,163.775,1.10074,1.07808,0.00452,0.68737,0.5641,0.61124,0.37717,1.27429,1.41217,0.0069,0.000368281,0.000368281,0.000368281
59,166.635,1.12417,1.11686,0.00443,0.72806,0.54289,0.62355,0.40255,1.28314,1.35746,0.00681,0.000352812,0.000352812,0.000352812
60,169.472,1.12469,1.13344,0.00453,0.72105,0.53894,0.65058,0.41086,1.25255,1.36093,0.00652,0.000337344,0.000337344,0.000337344
61,172.354,1.03795,1.0775,0.00438,0.624,0.62651,0.66767,0.42015,1.27014,1.38261,0.00654,0.000321875,0.000321875,0.000321875
62,175.213,1.0243,1.06242,0.00405,0.63589,0.5975,0.66266,0.41053,1.2527,1.38885,0.00662,0.000306406,0.000306406,0.000306406
63,178.129,1.00547,1.04064,0.00411,0.73472,0.56667,0.67545,0.42041,1.24403,1.39704,0.0067,0.000290937,0.000290937,0.000290937
64,181.001,1.06676,1.10231,0.00444,0.62422,0.67132,0.69752,0.42572,1.23444,1.39532,0.00669,0.000275469,0.000275469,0.000275469
65,183.935,1.00013,1.06594,0.00484,0.72482,0.58482,0.69799,0.42513,1.20464,1.34573,0.00633,0.00026,0.00026,0.00026
66,186.822,1.10749,1.13652,0.00402,0.7141,0.621,0.70481,0.42995,1.22174,1.35084,0.00652,0.000244531,0.000244531,0.000244531
67,189.656,1.04737,1.05981,0.00424,0.62571,0.63353,0.69329,0.42385,1.23657,1.39199,0.00651,0.000229063,0.000229063,0.000229063
68,192.476,1.06705,1.08609,0.00452,0.58315,0.64712,0.69737,0.42564,1.22745,1.36347,0.00645,0.000213594,0.000213594,0.000213594
69,195.255,0.93529,0.91381,0.0042,0.74461,0.54744,0.67729,0.42635,1.19284,1.38687,0.00615,0.000198125,0.000198125,0.000198125
70,198.042,1.04393,1.10001,0.00461,0.78237,0.5426,0.67286,0.43112,1.20108,1.3524,0.00621,0.000182656,0.000182656,0.000182656
71,208.273,0.93389,0.94253,0.0049,0.84875,0.488,0.65649,0.41586,1.21715,1.40845,0.00617,0.000167188,0.000167188,0.000167188
72,211.025,0.88121,0.88025,0.00477,0.86736,0.48307,0.66151,0.42402,1.23913,1.46952,0.00636,0.000151719,0.000151719,0.000151719
73,213.779,0.93213,0.8468,0.00473,0.66283,0.6247,0.66926,0.42403,1.23844,1.48298,0.00629,0.00013625,0.00013625,0.00013625
74,216.518,0.9467,0.87911,0.00471,0.69632,0.59491,0.67258,0.42438,1.24073,1.48435,0.00627,0.000120781,0.000120781,0.000120781
75,219.292,0.91199,0.87681,0.00474,0.79714,0.55358,0.65724,0.4157,1.23553,1.49716,0.0063,0.000105312,0.000105312,0.000105312
76,222.05,0.91668,0.86708,0.00481,0.70829,0.62901,0.66817,0.43256,1.23516,1.48645,0.00632,8.98437e-05,8.98437e-05,8.98437e-05
77,224.787,0.91807,0.8916,0.0049,0.67528,0.64024,0.66886,0.433,1.23585,1.49556,0.00633,7.4375e-05,7.4375e-05,7.4375e-05
78,227.529,0.89396,0.84039,0.00436,0.69954,0.64012,0.66627,0.43408,1.24696,1.48358,0.00641,5.89062e-05,5.89062e-05,5.89062e-05
79,230.297,0.89919,0.8478,0.00453,0.6552,0.62112,0.66606,0.43516,1.23912,1.47852,0.00634,4.34375e-05,4.34375e-05,4.34375e-05
80,233.022,0.93786,0.87209,0.00443,0.66965,0.63319,0.66624,0.4337,1.25255,1.44939,0.00644,2.79687e-05,2.79687e-05,2.79687e-05
