epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.85369,1.54643,5.53559,0.00802,0.00226,0.11763,0.00209,0.00175,1.25597,4.76826,0.00694,0.0003,0.0003,0.0003
2,9.55277,1.40324,5.10933,0.0065,0.00475,0.25737,0.01579,0.00755,1.237,4.60904,0.00706,0.000582181,0.000582181,0.000582181
3,12.0792,1.40383,4.49378,0.00628,0.00532,0.43558,0.04539,0.02868,1.2801,4.21742,0.00728,0.000833425,0.000833425,0.000833425
4,14.6598,1.37744,4.51906,0.00611,0.86465,0.08173,0.10391,0.0634,1.31795,3.71512,0.00747,0.00105373,0.00105373,0.00105373
5,17.1672,1.32093,4.32292,0.00632,0.84982,0.08654,0.14437,0.08816,1.31708,3.54114,0.00758,0.0010025,0.0010025,0.0010025
6,19.706,1.30163,3.72426,0.00598,0.67476,0.16795,0.17689,0.11122,1.33208,3.38979,0.00743,0.000940625,0.000940625,0.000940625
7,22.1524,1.3648,3.88397,0.00637,0.75867,0.13173,0.16123,0.0994,1.33925,3.31526,0.00766,0.00087875,0.00087875,0.00087875
8,24.6229,1.35995,3.71986,0.0068,0.69969,0.17724,0.18046,0.11073,1.33205,3.15862,0.00744,0.000816875,0.000816875,0.000816875
9,27.0741,1.38606,3.5156,0.00629,0.76228,0.175,0.22767,0.12737,1.33734,2.93719,0.00755,0.000755,0.000755,0.000755
10,29.5265,1.41501,3.59039,0.00662,0.66075,0.24199,0.31174,0.16444,1.31022,2.73925,0.0073,0.000693125,0.000693125,0.000693125
11,40.6923,1.22012,3.94748,0.00668,0.63474,0.31128,0.32031,0.17214,1.27287,2.58325,0.00681,0.00063125,0.00063125,0.00063125
12,43.0877,1.22007,3.60572,0.00721,0.63022,0.27905,0.33302,0.1808,1.24324,2.45503,0.00665,0.000569375,0.000569375,0.000569375
13,45.4872,1.23792,3.48829,0.00653,0.69194,0.37109,0.3789,0.21484,1.29401,2.31122,0.00701,0.0005075,0.0005075,0.0005075
14,47.9056,1.204,3.38818,0.00664,0.6579,0.38942,0.39848,0.20314,1.31266,2.21219,0.00718,0.000445625,0.000445625,0.000445625
15,50.2801,1.18036,3.56528,0.00658,0.59999,0.39551,0.40953,0.22177,1.31058,2.14983,0.00709,0.00038375,0.00038375,0.00038375
16,52.7333,1.1559,3.21837,0.00662,0.67609,0.36786,0.40671,0.2303,1.31379,2.08247,0.00716,0.000321875,0.000321875,0.000321875
17,55.1939,1.1888,3.26968,0.0066,0.59423,0.31218,0.36638,0.23012,1.27401,2.06713,0.00685,0.00026,0.00026,0.00026
18,57.7122,1.21556,3.26566,0.0064,0.57967,0.31218,0.35985,0.23073,1.27414,2.0297,0.00677,0.000198125,0.000198125,0.000198125
19,60.2611,1.11896,3.2302,0.00621,0.60071,0.29904,0.3468,0.23225,1.25561,2.01663,0.00666,0.00013625,0.00013625,0.00013625
20,62.6568,1.1672,3.06911,0.00646,0.60561,0.29904,0.36754,0.23594,1.24943,2.01303,0.00668,7.4375e-05,7.4375e-05,7.4375e-05
