epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.36164,1.35518,2.44645,0.00715,0.49326,0.49231,0.42715,0.2553,1.39434,2.11649,0.00767,0.00015,0.00015,0.00015
2,4.85999,1.40768,2.06858,0.00667,0.60662,0.40225,0.40141,0.23897,1.45565,2.17415,0.00838,0.000308633,0.000308633,0.000308633
3,7.04328,1.34196,2.08284,0.00715,0.5047,0.37474,0.30885,0.16691,1.67252,2.21804,0.00958,0.000463244,0.000463244,0.000463244
4,9.35151,1.43312,2.03754,0.00687,0.25525,0.27207,0.22308,0.12417,1.62929,2.39333,0.00889,0.000613833,0.000613833,0.000613833
5,11.4263,1.39704,1.93708,0.006,0.26191,0.37325,0.24171,0.13791,1.53129,2.50198,0.00873,0.0007604,0.0007604,0.0007604
6,13.5379,1.42249,2.01964,0.00715,0.65863,0.22758,0.28165,0.16564,1.5958,2.24362,0.00959,0.000902945,0.000902945,0.000902945
7,16.6801,1.35448,1.99746,0.00638,0.59435,0.25283,0.28147,0.16191,1.55875,2.26491,0.00908,0.00104147,0.00104147,0.00104147
8,18.7282,1.49337,2.09444,0.00684,0.80344,0.19787,0.33725,0.19633,1.66686,2.18889,0.0096,0.00114172,0.00114172,0.00114172
9,20.8019,1.65702,2.16732,0.00765,0.26268,0.17523,0.17522,0.08427,1.83433,2.54201,0.01088,0.00112625,0.00112625,0.00112625
10,22.8504,1.61209,2.31427,0.00765,0.39727,0.22556,0.23279,0.09997,1.80677,2.48688,0.01082,0.00111078,0.00111078,0.00111078
11,24.9085,1.47823,1.84029,0.00681,0.27246,0.36945,0.35342,0.15098,1.75138,2.32955,0.01012,0.00109531,0.00109531,0.00109531
12,27.0239,1.53162,1.8728,0.00755,0.42773,0.493,0.4272,0.17843,1.73009,2.48541,0.0104,0.00107984,0.00107984,0.00107984
13,29.3122,1.56499,1.89495,0.00906,0.4505,0.47723,0.44761,0.18306,1.72479,2.31192,0.01032,0.00106437,0.00106437,0.00106437
14,31.2977,1.54458,1.83691,0.00705,0.66198,0.31285,0.45696,0.22056,1.78832,2.10105,0.01112,0.00104891,0.00104891,0.00104891
15,33.3242,1.50765,1.7289,0.00816,0.32098,0.39329,0.31751,0.15427,1.69297,2.35257,0.00966,0.00103344,0.00103344,0.00103344
16,35.5217,1.48197,1.88585,0.00778,0.58354,0.21336,0.293,0.14073,1.72159,2.45066,0.00973,0.00101797,0.00101797,0.00101797
17,37.586,1.52583,1.70577,0.00696,0.38978,0.32677,0.33906,0.1856,1.62035,2.22147,0.00976,0.0010025,0.0010025,0.0010025
18,39.6029,1.4471,1.8474,0.00742,0.54403,0.4027,0.4315,0.2224,1.66782,2.17509,0.00964,0.000987031,0.000987031,0.000987031
19,41.633,1.43157,1.51211,0.00595,0.42797,0.44335,0.36414,0.20815,1.65992,2.30429,0.00965,0.000971562,0.000971562,0.000971562
20,43.6667,1.42702,1.63837,0.00626,0.50188,0.37696,0.36824,0.18504,1.78015,2.3324,0.01079,0.000956094,0.000956094,0.000956094
21,45.7136,1.51301,1.53366,0.00714,0.60483,0.34023,0.43388,0.20891,1.72197,2.24084,0.01044,0.000940625,0.000940625,0.000940625
22,47.8002,1.49932,1.60619,0.00774,0.73078,0.41417,0.46737,0.23951,1.60193,1.95146,0.00925,0.000925156,0.000925156,0.000925156
23,49.9755,1.48178,1.55073,0.00776,0.69359,0.37557,0.40184,0.21633,1.64712,1.85992,0.00925,0.000909688,0.000909688,0.000909688
24,51.9995,1.34536,1.5286,0.00575,0.60167,0.37413,0.39055,0.21544,1.70657,2.00539,0.0096,0.000894219,0.000894219,0.000894219
25,54.0929,1.44801,1.49248,0.00674,0.46529,0.47462,0.39983,0.21335,1.66126,1.90753,0.0094,0.00087875,0.00087875,0.00087875
26,56.225,1.18611,1.3101,0.0064,0.63304,0.39417,0.45202,0.23786,1.6028,1.93312,0.00865,0.000863281,0.000863281,0.000863281
27,58.3028,1.30916,1.55505,0.00624,0.63813,0.50593,0.52485,0.30478,1.57877,1.85169,0.00889,0.000847813,0.000847813,0.000847813
28,60.5943,1.35557,1.37414,0.00567,0.50123,0.53332,0.5305,0.26863,1.63744,1.93,0.00921,0.000832344,0.000832344,0.000832344
29,62.5682,1.25768,1.42763,0.00657,0.5752,0.46886,0.47893,0.23117,1.64245,1.96545,0.00923,0.000816875,0.000816875,0.000816875
30,67.0565,1.2821,1.3514,0.00604,0.47481,0.44413,0.46084,0.22709,1.64012,1.97391,0.00942,0.000801406,0.000801406,0.000801406
31,69.3744,1.35941,1.42115,0.00709,0.38967,0.45429,0.46959,0.23319,1.59541,1.84761,0.00931,0.000785938,0.000785938,0.000785938
32,71.375,1.4432,1.42866,0.00601,0.54373,0.38495,0.43218,0.21512,1.60584,1.86602,0.00932,0.000770469,0.000770469,0.000770469
33,73.535,1.5356,1.56796,0.00668,0.52506,0.3885,0.47581,0.23225,1.60819,1.87978,0.00921,0.000755,0.000755,0.000755
34,75.607,1.44593,1.29574,0.00595,0.66654,0.41474,0.47554,0.26199,1.68062,1.75918,0.00953,0.000739531,0.000739531,0.000739531
35,77.6078,1.26406,1.26351,0.00581,0.59386,0.35554,0.49378,0.27208,1.68067,1.74859,0.00977,0.000724062,0.000724062,0.000724062
36,79.6491,1.413,1.3139,0.00751,0.502,0.46708,0.4738,0.28771,1.55412,1.66057,0.00893,0.000708594,0.000708594,0.000708594
37,81.6297,1.28499,1.07304,0.00482,0.571,0.39824,0.432,0.25917,1.52915,1.71814,0.00865,0.000693125,0.000693125,0.000693125
38,83.9358,1.28557,1.17433,0.00627,0.55438,0.55442,0.48817,0.27493,1.53797,1.7122,0.00894,0.000677656,0.000677656,0.000677656
39,86.0621,1.28657,1.14892,0.00623,0.76875,0.50107,0.55212,0.29675,1.5017,1.64822,0.00879,0.000662188,0.000662188,0.000662188
40,88.0268,1.21232,1.10403,0.00567,0.80802,0.4656,0.56372,0.30565,1.493,1.76435,0.0086,0.000646719,0.000646719,0.000646719
41,90.1915,1.28622,1.18241,0.00716,0.7225,0.48462,0.56984,0.30582,1.48983,1.8104,0.00865,0.00063125,0.00063125,0.00063125
42,92.356,1.17856,1.14529,0.00595,0.60796,0.54455,0.57073,0.30638,1.53225,1.73795,0.0089,0.000615781,0.000615781,0.000615781
43,94.5636,1.22868,1.10907,0.00577,0.54777,0.49038,0.54265,0.32343,1.54508,1.79021,0.00893,0.000600313,0.000600313,0.000600313
44,96.796,1.23211,1.10108,0.00551,0.47976,0.53118,0.55355,0.32557,1.52763,1.69106,0.00898,0.000584844,0.000584844,0.000584844
45,98.9779,1.25911,1.06657,0.00571,0.51918,0.51073,0.56104,0.3066,1.55336,1.68738,0.00906,0.000569375,0.000569375,0.000569375
46,101.016,1.09899,0.92384,0.00441,0.57089,0.531,0.54903,0.30993,1.52176,1.75788,0.00883,0.000553906,0.000553906,0.000553906
47,103.074,1.15712,0.99148,0.00505,0.5531,0.55708,0.55505,0.31329,1.51297,1.85934,0.00873,0.000538438,0.000538438,0.000538438
48,105.294,1.22636,1.07367,0.00516,0.57324,0.56872,0.57986,0.3119,1.52392,1.75354,0.00877,0.000522969,0.000522969,0.000522969
49,107.327,1.26485,1.03031,0.00546,0.70145,0.5332,0.57704,0.31211,1.51196,1.69608,0.00873,0.0005075,0.0005075,0.0005075
50,109.353,1.202,0.93758,0.00535,0.69795,0.46085,0.53911,0.30613,1.49626,1.71875,0.00863,0.000492031,0.000492031,0.000492031
51,111.387,1.12347,0.93452,0.00468,0.63788,0.44089,0.49407,0.29702,1.48309,1.78061,0.00859,0.000476562,0.000476562,0.000476562
52,113.433,1.17999,1.08844,0.00525,0.61168,0.44492,0.50503,0.29515,1.50371,1.707,0.00873,0.000461094,0.000461094,0.000461094
53,115.461,1.19504,0.95796,0.00526,0.51567,0.50925,0.49347,0.27676,1.50749,1.7093,0.00873,0.000445625,0.000445625,0.000445625
54,117.61,1.03254,0.83975,0.0047,0.58974,0.49364,0.48232,0.28607,1.50789,1.6586,0.00881,0.000430156,0.000430156,0.000430156
55,119.652,1.10961,0.84804,0.00537,0.587,0.49085,0.50796,0.31283,1.42942,1.6645,0.00834,0.000414688,0.000414688,0.000414688
56,121.65,1.23096,1.20638,0.00517,0.75194,0.48833,0.53852,0.32701,1.40033,1.69807,0.00807,0.000399219,0.000399219,0.000399219
57,124.052,1.21146,1.10111,0.00506,0.71766,0.50546,0.55277,0.33338,1.43525,1.66774,0.0085,0.00038375,0.00038375,0.00038375
58,126.36,1.12889,0.92421,0.00509,0.73802,0.50386,0.54606,0.33981,1.45942,1.6046,0.00873,0.000368281,0.000368281,0.000368281
59,128.588,1.10049,0.92721,0.0048,0.76533,0.50515,0.55185,0.3321,1.43655,1.58743,0.00855,0.000352812,0.000352812,0.000352812
60,130.653,1.13234,0.88444,0.0044,0.7902,0.50522,0.56868,0.32852,1.40009,1.58151,0.0082,0.000337344,0.000337344,0.000337344
61,132.712,1.03621,0.84309,0.00547,0.76512,0.50622,0.57397,0.32574,1.39713,1.58036,0.00822,0.000321875,0.000321875,0.000321875
62,134.789,0.98836,0.85861,0.00438,0.72736,0.51048,0.56494,0.31585,1.40486,1.63855,0.00819,0.000306406,0.000306406,0.000306406
63,138.973,1.03965,0.85526,0.00455,0.73997,0.51471,0.57435,0.32516,1.38844,1.65388,0.00809,0.000290937,0.000290937,0.000290937
64,142.717,0.99763,0.80644,0.00454,0.77556,0.50537,0.57987,0.32898,1.40725,1.64903,0.00816,0.000275469,0.000275469,0.000275469
65,144.723,1.12917,1.0025,0.00576,0.67287,0.5134,0.5613,0.32233,1.40405,1.66333,0.0081,0.00026,0.00026,0.00026
66,146.875,1.04202,0.88543,0.0045,0.65215,0.54413,0.55426,0.3194,1.38568,1.66697,0.00791,0.000244531,0.000244531,0.000244531
67,149.093,1.23023,0.93316,0.00453,0.61488,0.55395,0.54862,0.31546,1.37938,1.644,0.00782,0.000229063,0.000229063,0.000229063
68,151.113,1.00164,0.84288,0.00447,0.59843,0.55881,0.54691,0.31738,1.38174,1.60855,0.00787,0.000213594,0.000213594,0.000213594
69,153.221,1.0493,0.84273,0.00512,0.60477,0.54905,0.55122,0.33078,1.43541,1.46785,0.00823,0.000198125,0.000198125,0.000198125
70,155.275,1.10569,0.8245,0.0044,0.73564,0.46122,0.54631,0.33165,1.38785,1.53973,0.008,0.000182656,0.000182656,0.000182656
71,165.302,0.86286,0.69743,0.00495,0.58581,0.58204,0.55882,0.33333,1.36773,1.56208,0.00787,0.000167188,0.000167188,0.000167188
